timestamp,strategy,account,action,side,contracts,signal_price,fill_price,slippage_pts,sl_price,tp_price,exit_reason,exit_price,pnl_per_contract,pnl_total,bars_held,daily_pnl,monthly_pnl
2025-11-25 09:45:00,MOM,BACKTEST,Entry,Sell,1,24729.00,24729.25,0.25,24744.25,24629.25,,,,,,,
2025-11-25 09:49:00,MOM,BACKTEST,Exit,Sell,1,24729.00,24729.25,0.25,24744.25,24629.25,TP,24629.25,200.00,200.00,0,200.00,53.50
2025-11-25 10:15:00,MOM,BACKTEST,Entry,Sell,1,24743.50,24743.75,0.25,24758.75,24643.75,,,,,,,
2025-11-25 10:16:00,MOM,BACKTEST,Exit,Sell,1,24743.50,24743.75,0.25,24758.75,24643.75,SL,24758.75,-30.00,-30.00,0,170.00,23.50
2025-11-25 11:00:00,MOM,BACKTEST,Entry,Sell,1,24818.00,24818.00,0.00,24833.00,24718.00,,,,,,,
2025-11-25 11:19:00,MOM,BACKTEST,Exit,Sell,1,24818.00,24818.00,0.00,24833.00,24718.00,SL,24833.00,-30.00,-30.00,1,140.00,-6.50
2025-11-25 11:30:00,MOM,BACKTEST,Entry,Buy,1,24854.25,24854.25,0.00,24839.25,24954.25,,,,,,,
2025-11-25 11:45:00,MOM,BACKTEST,Exit,Buy,1,24854.25,24854.25,0.00,24839.25,24954.25,SL,24839.25,-30.00,-30.00,1,110.00,-36.50
2025-11-25 16:00:00,MOM,BACKTEST,Entry,Buy,1,25079.25,25080.00,0.75,25065.00,25180.00,,,,,,,
2025-11-25 16:37:00,MOM,BACKTEST,Exit,Buy,1,25079.25,25080.00,0.75,25065.00,25180.00,SL,25065.00,-30.00,-30.00,2,80.00,-66.50
2025-11-26 09:45:00,MOM,BACKTEST,Entry,Buy,1,25233.25,25233.00,0.25,25218.00,25333.00,,,,,,,
2025-11-26 09:55:00,MOM,BACKTEST,Exit,Buy,1,25233.25,25233.00,0.25,25218.00,25333.00,SL,25218.00,-30.00,-30.00,0,-30.00,-96.50
2025-11-26 10:15:00,MOM,BACKTEST,Entry,Buy,1,25176.25,25175.50,0.75,25160.50,25275.50,,,,,,,
2025-11-26 10:16:00,MOM,BACKTEST,Exit,Buy,1,25176.25,25175.50,0.75,25160.50,25275.50,SL,25160.50,-30.00,-30.00,0,-60.00,-126.50
2025-11-26 10:30:00,MOM,BACKTEST,Entry,Buy,1,25191.00,25191.00,0.00,25176.00,25291.00,,,,,,,
2025-11-26 11:04:00,MOM,BACKTEST,Exit,Buy,1,25191.00,25191.00,0.00,25176.00,25291.00,TP,25291.00,200.00,200.00,2,140.00,73.50
2025-11-26 16:00:00,MOM,BACKTEST,Entry,Sell,1,25296.00,25296.50,0.50,25311.50,25196.50,,,,,,,
2025-11-26 16:00:00,MOM,BACKTEST,Exit,Sell,1,25296.00,25296.50,0.50,25311.50,25196.50,SL,25311.50,-30.00,-30.00,0,110.00,43.50
2025-11-28 10:00:00,MOM,BACKTEST,Entry,Buy,1,25370.00,25370.00,0.00,25355.00,25470.00,,,,,,,
2025-11-28 10:05:00,MOM,BACKTEST,Exit,Buy,1,25370.00,25370.00,0.00,25355.00,25470.00,SL,25355.00,-30.00,-30.00,0,-30.00,13.50
2025-11-28 10:15:00,MOM,BACKTEST,Entry,Buy,1,25382.25,25382.50,0.25,25367.50,25482.50,,,,,,,
2025-11-28 10:27:00,MOM,BACKTEST,Exit,Buy,1,25382.25,25382.50,0.25,25367.50,25482.50,SL,25367.50,-30.00,-30.00,0,-60.00,-16.50
2025-11-28 10:45:00,MOM,BACKTEST,Entry,Buy,1,25389.25,25389.25,0.00,25374.25,25489.25,,,,,,,
2025-11-28 11:27:00,MOM,BACKTEST,Exit,Buy,1,25389.25,25389.25,0.00,25374.25,25489.25,SL,25374.25,-30.00,-30.00,2,-90.00,-46.50
2025-11-28 11:45:00,MOM,BACKTEST,Entry,Buy,1,25405.75,25405.00,0.75,25390.00,25505.00,,,,,,,
2025-11-28 12:45:00,MOM,BACKTEST,Exit,Buy,1,25405.75,25405.00,0.75,25390.00,25505.00,MaxHold,25487.00,164.00,164.00,5,74.00,117.50
2025-12-01 09:45:00,MOM,BACKTEST,Entry,Sell,1,25246.75,25247.00,0.25,25262.00,25147.00,,,,,,,
2025-12-01 09:45:00,MOM,BACKTEST,Exit,Sell,1,25246.75,25247.00,0.25,25262.00,25147.00,SL,25262.00,-30.00,-30.00,0,-30.00,-30.00
2025-12-01 10:30:00,MOM,BACKTEST,Entry,Sell,1,25323.75,25324.00,0.25,25339.00,25224.00,,,,,,,
2025-12-01 10:39:00,MOM,BACKTEST,Exit,Sell,1,25323.75,25324.00,0.25,25339.00,25224.00,SL,25339.00,-30.00,-30.00,0,-60.00,-60.00
2025-12-01 11:00:00,MOM,BACKTEST,Entry,Buy,1,25412.75,25412.50,0.25,25397.50,25512.50,,,,,,,
2025-12-01 11:05:00,MOM,BACKTEST,Exit,Buy,1,25412.75,25412.50,0.25,25397.50,25512.50,SL,25397.50,-30.00,-30.00,0,-90.00,-90.00
2025-12-01 11:15:00,MOM,BACKTEST,Entry,Sell,1,25349.00,25348.25,0.75,25363.25,25248.25,,,,,,,
2025-12-01 11:18:00,MOM,BACKTEST,Exit,Sell,1,25349.00,25348.25,0.75,25363.25,25248.25,SL,25363.25,-30.00,-30.00,0,-120.00,-120.00
2025-12-01 14:45:00,MOM,BACKTEST,Entry,Sell,1,25382.00,25381.50,0.50,25396.50,25281.50,,,,,,,
2025-12-01 15:10:00,MOM,BACKTEST,Exit,Sell,1,25382.00,25381.50,0.50,25396.50,25281.50,SL,25396.50,-30.00,-30.00,1,-150.00,-150.00
2025-12-01 16:00:00,MOM,BACKTEST,Entry,Sell,1,25401.75,25402.00,0.25,25417.00,25302.00,,,,,,,
