account,contracts,date,trade_count,wins,losses,gross_pnl,net_pnl,avg_win,avg_loss,win_rate,max_single_loss,max_single_win,killswitch_triggered,day_result
25K,6,2023-10-11,5,1,4,813.0,699.6,814.32,-28.68,20.0,-28.68,814.32,0,WIN
25K,6,2023-10-12,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2023-10-13,5,2,3,780.0,666.6,376.32,-28.68,40.0,-28.68,421.32,0,WIN
25K,6,2023-10-16,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-10-17,5,2,3,930.0,816.6,451.32,-28.68,40.0,-28.68,571.32,0,WIN
25K,6,2023-10-18,6,2,4,684.0,547.92,331.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2023-10-19,8,6,2,4272.0,4090.56,691.32,-28.68,75.0,-28.68,1171.32,0,WIN
25K,6,2023-10-20,6,2,4,504.0,367.92,241.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2023-10-23,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2023-10-24,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2023-10-25,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2023-10-26,5,2,3,1350.0,1236.6,661.32,-28.68,40.0,-28.68,1171.32,0,WIN
25K,6,2023-10-27,6,3,3,1524.0,1387.92,491.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2023-10-30,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-10-31,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2023-11-01,6,2,4,1344.0,1207.92,661.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2023-11-02,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-03,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-06,6,2,4,711.0,574.92,344.82,-28.68,33.33,-28.68,358.32,0,WIN
25K,6,2023-11-07,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-08,5,2,3,681.0,567.6,326.82,-28.68,40.0,-28.68,502.32,0,WIN
25K,6,2023-11-09,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-10,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-13,6,2,4,324.0,187.92,151.32,-28.68,33.33,-28.68,151.32,0,WIN
25K,6,2023-11-14,5,1,4,324.0,210.6,325.32,-28.68,20.0,-28.68,325.32,0,WIN
25K,6,2023-11-15,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-16,6,3,3,1011.0,874.92,320.32,-28.68,50.0,-28.68,478.32,0,WIN
25K,6,2023-11-17,4,1,3,156.0,65.28,151.32,-28.68,25.0,-28.68,151.32,0,WIN
25K,6,2023-11-20,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2023-11-21,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-22,5,2,3,1350.0,1236.6,661.32,-28.68,40.0,-28.68,1171.32,0,WIN
25K,6,2023-11-23,1,0,1,-6.0,-28.68,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-24,3,1,2,162.0,93.96,151.32,-28.68,33.33,-28.68,151.32,0,WIN
25K,6,2023-11-27,6,3,3,1245.0,1108.92,398.32,-28.68,50.0,-28.68,892.32,0,WIN
25K,6,2023-11-28,6,2,4,504.0,367.92,241.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2023-11-29,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-11-30,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-01,5,1,4,216.0,102.6,217.32,-28.68,20.0,-28.68,217.32,0,WIN
25K,6,2023-12-04,6,2,4,324.0,187.92,151.32,-28.68,33.33,-28.68,151.32,0,WIN
25K,6,2023-12-05,5,1,4,570.0,456.6,571.32,-28.68,20.0,-28.68,571.32,0,WIN
25K,6,2023-12-06,5,1,4,408.0,294.6,409.32,-28.68,20.0,-28.68,409.32,0,WIN
25K,6,2023-12-07,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-08,4,2,2,1938.0,1847.28,952.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2023-12-11,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-12,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2023-12-13,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-14,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-18,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-19,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-20,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-21,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2023-12-22,3,0,3,-18.0,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-26,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-27,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2023-12-28,5,1,4,372.0,258.6,373.32,-28.68,20.0,-28.68,373.32,0,WIN
25K,6,2023-12-29,4,1,3,297.0,206.28,292.32,-28.68,25.0,-28.68,292.32,0,WIN
25K,6,2024-01-02,6,2,4,744.0,607.92,361.32,-28.68,33.33,-28.68,571.32,0,WIN
25K,6,2024-01-03,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-04,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2024-01-05,5,2,3,981.0,867.6,476.82,-28.68,40.0,-28.68,622.32,0,WIN
25K,6,2024-01-08,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-09,4,1,3,336.0,245.28,331.32,-28.68,25.0,-28.68,331.32,0,WIN
25K,6,2024-01-10,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-11,5,1,4,570.0,456.6,571.32,-28.68,20.0,-28.68,571.32,0,WIN
25K,6,2024-01-12,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-01-15,1,0,1,-6.0,-28.68,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-16,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-01-17,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-18,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-19,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-22,4,2,2,1011.0,920.28,488.82,-28.68,50.0,-28.68,826.32,0,WIN
25K,6,2024-01-23,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-24,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-25,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-01-26,6,3,3,1704.0,1567.92,551.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2024-01-29,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-30,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-01-31,5,1,4,570.0,456.6,571.32,-28.68,20.0,-28.68,571.32,0,WIN
25K,6,2024-02-01,6,2,4,1524.0,1387.92,751.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2024-02-02,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-05,4,1,3,336.0,245.28,331.32,-28.68,25.0,-28.68,331.32,0,WIN
25K,6,2024-02-06,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-02-07,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2024-02-08,5,2,3,510.0,396.6,241.32,-28.68,40.0,-28.68,331.32,0,WIN
25K,6,2024-02-09,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-12,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-13,6,2,4,1344.0,1207.92,661.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2024-02-14,4,1,3,1176.0,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN
25K,6,2024-02-15,6,3,3,504.0,367.92,151.32,-28.68,50.0,-28.68,151.32,0,WIN
25K,6,2024-02-16,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2024-02-19,2,0,2,-12.0,-57.36,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-20,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2024-02-21,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-02-22,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-23,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-02-26,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-27,6,2,4,504.0,367.92,241.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2024-02-28,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-02-29,6,3,3,1944.0,1807.92,631.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2024-03-01,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-03-04,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-03-05,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-03-06,5,2,3,1350.0,1236.6,661.32,-28.68,40.0,-28.68,1171.32,0,WIN
25K,6,2024-03-07,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-03-08,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-03-11,4,1,3,576.0,485.28,571.32,-28.68,25.0,-28.68,571.32,0,WIN
25K,6,2024-03-12,5,2,3,1620.0,1506.6,796.32,-28.68,40.0,-28.68,1171.32,0,WIN
25K,6,2024-03-13,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-03-14,6,2,4,1344.0,1207.92,661.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2024-03-18,5,3,2,1290.0,1176.6,411.32,-28.68,60.0,-28.68,931.32,0,WIN
25K,6,2024-03-19,6,2,4,504.0,367.92,241.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2024-03-20,5,1,4,570.0,456.6,571.32,-28.68,20.0,-28.68,571.32,0,WIN
25K,6,2024-03-21,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-03-22,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-03-25,5,2,3,1170.0,1056.6,571.32,-28.68,40.0,-28.68,571.32,0,WIN
25K,6,2024-03-26,4,1,3,348.0,257.28,343.32,-28.68,25.0,-28.68,343.32,0,WIN
25K,6,2024-03-27,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-03-28,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-04-01,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-04-02,7,3,4,498.0,339.24,151.32,-28.68,42.86,-28.68,151.32,0,WIN
25K,6,2024-04-03,6,2,4,858.0,721.92,418.32,-28.68,33.33,-28.68,571.32,0,WIN
25K,6,2024-04-04,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-04-05,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-04-08,5,2,3,330.0,216.6,151.32,-28.68,40.0,-28.68,151.32,0,WIN
25K,6,2024-04-09,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-04-10,7,4,3,1278.0,1119.24,301.32,-28.68,57.14,-28.68,571.32,0,WIN
25K,6,2024-04-11,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-04-12,6,2,4,504.0,367.92,241.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2024-04-15,7,3,4,498.0,339.24,151.32,-28.68,42.86,-28.68,151.32,0,WIN
25K,6,2024-04-16,6,2,4,924.0,787.92,451.32,-28.68,33.33,-28.68,571.32,0,WIN
25K,6,2024-04-17,6,2,4,1524.0,1387.92,751.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2024-04-18,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2024-04-19,6,3,3,2124.0,1987.92,691.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2024-04-22,6,2,4,1764.0,1627.92,871.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2024-04-23,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-04-24,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2024-04-25,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2024-04-26,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2024-04-29,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
