date,trade_num,entry_time,exit_time,direction,contracts,entry_px,exit_px,net_pnl,reason
2020-01-07,5,2020-01-07 15:30:00-05:00,2020-01-08 09:30:00-05:00,SHORT,5,8879.0,8879.5,-23.9,break_even
2020-01-08,1,2020-01-08 10:00:00-05:00,2020-01-08 10:15:00-05:00,SHORT,5,8890.0,8890.5,-23.9,break_even
2020-01-08,2,2020-01-08 11:30:00-05:00,2020-01-08 11:45:00-05:00,SHORT,5,8897.0,8897.5,-23.9,break_even
2020-01-08,3,2020-01-08 13:00:00-05:00,2020-01-08 13:15:00-05:00,SHORT,5,8939.5,8940.0,-23.9,break_even
2020-01-08,4,2020-01-08 14:30:00-05:00,2020-01-08 14:45:00-05:00,SHORT,5,8941.25,8941.75,-23.9,break_even
2020-01-08,5,2020-01-08 16:00:00-05:00,2020-01-09 10:15:00-05:00,LONG,5,8930.25,9004.75,726.1,max_hold
2020-01-09,1,2020-01-09 10:30:00-05:00,2020-01-09 10:45:00-05:00,SHORT,5,9004.5,9005.0,-23.9,break_even
2020-01-09,2,2020-01-09 12:00:00-05:00,2020-01-09 13:15:00-05:00,SHORT,5,9006.75,8986.75,181.1,max_hold
2020-01-09,3,2020-01-09 14:30:00-05:00,2020-01-09 14:45:00-05:00,SHORT,5,8993.5,8994.0,-23.9,break_even
2020-01-09,4,2020-01-09 16:00:00-05:00,2020-01-09 16:30:00-05:00,SHORT,5,9005.5,9006.0,-23.9,break_even
2020-01-10,1,2020-01-10 09:45:00-05:00,2020-01-10 10:00:00-05:00,SHORT,5,9017.5,9018.0,-23.9,break_even
2020-01-10,2,2020-01-10 11:15:00-05:00,2020-01-10 12:30:00-05:00,SHORT,5,9038.25,9008.25,281.1,max_hold
2020-01-10,3,2020-01-10 12:45:00-05:00,2020-01-10 13:00:00-05:00,LONG,5,9008.75,9008.25,-23.9,break_even
2020-01-10,4,2020-01-10 14:15:00-05:00,2020-01-10 14:30:00-05:00,LONG,5,9000.0,8999.5,-23.9,break_even
2020-01-10,5,2020-01-10 15:45:00-05:00,2020-01-10 16:00:00-05:00,LONG,5,8976.0,8975.5,-23.9,break_even
2020-01-13,1,2020-01-13 09:45:00-05:00,2020-01-13 10:00:00-05:00,SHORT,5,9022.25,9022.75,-23.9,break_even
2020-01-13,2,2020-01-13 11:15:00-05:00,2020-01-13 11:30:00-05:00,SHORT,5,9034.75,9035.25,-23.9,break_even
2020-01-13,3,2020-01-13 12:45:00-05:00,2020-01-13 13:00:00-05:00,SHORT,5,9060.5,9061.0,-23.9,break_even
2020-01-13,4,2020-01-13 14:15:00-05:00,2020-01-13 14:30:00-05:00,SHORT,5,9069.5,9070.0,-23.9,break_even
2020-01-13,5,2020-01-13 15:45:00-05:00,2020-01-13 16:00:00-05:00,SHORT,5,9072.75,9073.25,-23.9,break_even
2020-01-14,1,2020-01-14 09:45:00-05:00,2020-01-14 10:00:00-05:00,LONG,5,9062.5,9062.0,-23.9,break_even
2020-01-14,2,2020-01-14 12:00:00-05:00,2020-01-14 12:15:00-05:00,SHORT,5,9076.5,9077.0,-23.9,break_even
2020-01-14,3,2020-01-14 13:30:00-05:00,2020-01-14 14:45:00-05:00,SHORT,5,9088.75,9061.0,258.6,max_hold
2020-01-14,4,2020-01-14 15:15:00-05:00,2020-01-14 15:30:00-05:00,LONG,5,9048.5,9048.0,-23.9,break_even
2020-01-15,1,2020-01-15 09:45:00-05:00,2020-01-15 10:00:00-05:00,SHORT,5,9067.25,9067.75,-23.9,break_even
2020-01-15,2,2020-01-15 12:15:00-05:00,2020-01-15 13:30:00-05:00,SHORT,5,9086.5,9060.5,241.1,max_hold
2020-01-15,3,2020-01-15 13:45:00-05:00,2020-01-15 14:00:00-05:00,LONG,5,9060.25,9059.75,-23.9,break_even
2020-01-15,4,2020-01-15 15:15:00-05:00,2020-01-15 15:30:00-05:00,LONG,5,9053.75,9053.25,-23.9,break_even
2020-01-16,1,2020-01-16 09:45:00-05:00,2020-01-16 10:00:00-05:00,SHORT,5,9112.25,9112.75,-23.9,break_even
2020-01-16,2,2020-01-16 11:15:00-05:00,2020-01-16 11:30:00-05:00,LONG,5,9086.25,9085.75,-23.9,break_even
2020-01-16,3,2020-01-16 13:15:00-05:00,2020-01-16 14:30:00-05:00,LONG,5,9090.0,9107.0,151.1,max_hold
2020-01-16,4,2020-01-16 14:45:00-05:00,2020-01-16 15:00:00-05:00,SHORT,5,9107.25,9107.75,-23.9,break_even
2020-01-16,5,2020-01-16 16:30:00-05:00,2020-01-17 09:30:00-05:00,SHORT,5,9132.75,9133.25,-23.9,break_even
2020-01-17,1,2020-01-17 10:45:00-05:00,2020-01-17 12:00:00-05:00,SHORT,5,9155.75,9152.25,16.1,max_hold
2020-01-17,2,2020-01-17 12:15:00-05:00,2020-01-17 12:30:00-05:00,SHORT,5,9151.75,9152.25,-23.9,break_even
2020-01-17,3,2020-01-17 14:00:00-05:00,2020-01-17 14:15:00-05:00,SHORT,5,9159.25,9159.75,-23.9,break_even
2020-01-17,4,2020-01-17 15:30:00-05:00,2020-01-17 15:45:00-05:00,SHORT,5,9160.5,9161.0,-23.9,break_even
2020-01-20,1,2020-01-20 10:45:00-05:00,2020-01-20 11:00:00-05:00,LONG,5,9167.0,9166.5,-23.9,break_even
2020-01-20,2,2020-01-20 12:15:00-05:00,2020-01-20 12:30:00-05:00,SHORT,5,9174.5,9175.0,-23.9,break_even
2020-01-21,1,2020-01-21 09:45:00-05:00,2020-01-21 10:15:00-05:00,LONG,5,9162.25,9161.75,-23.9,break_even
2020-01-21,2,2020-01-21 11:15:00-05:00,2020-01-21 11:30:00-05:00,SHORT,5,9184.75,9185.25,-23.9,break_even
2020-01-21,3,2020-01-21 13:15:00-05:00,2020-01-21 14:30:00-05:00,SHORT,5,9192.25,9167.25,231.1,max_hold
2020-01-21,4,2020-01-21 14:45:00-05:00,2020-01-21 16:00:00-05:00,LONG,5,9167.0,9166.5,-23.9,break_even
2020-01-21,5,2020-01-21 16:30:00-05:00,2020-01-22 10:30:00-05:00,LONG,5,9173.75,9250.25,746.1,max_hold
2020-01-22,1,2020-01-22 10:45:00-05:00,2020-01-22 12:00:00-05:00,SHORT,5,9250.5,9223.5,251.1,max_hold
2020-01-22,2,2020-01-22 12:45:00-05:00,2020-01-22 13:00:00-05:00,SHORT,5,9233.25,9233.75,-23.9,break_even
2020-01-22,3,2020-01-22 14:30:00-05:00,2020-01-22 14:45:00-05:00,LONG,5,9228.75,9228.25,-23.9,break_even
2020-01-22,4,2020-01-22 16:00:00-05:00,2020-01-22 16:30:00-05:00,LONG,5,9201.25,9200.75,-23.9,break_even
2020-01-23,1,2020-01-23 09:45:00-05:00,2020-01-23 10:45:00-05:00,LONG,5,9163.0,9192.5,276.1,stop_loss
2020-01-23,2,2020-01-23 11:00:00-05:00,2020-01-23 11:15:00-05:00,LONG,5,9190.25,9189.75,-23.9,break_even
2020-01-23,3,2020-01-23 12:30:00-05:00,2020-01-23 13:15:00-05:00,SHORT,5,9203.0,9203.5,-23.9,break_even
2020-01-23,4,2020-01-23 14:00:00-05:00,2020-01-23 14:15:00-05:00,SHORT,5,9211.75,9212.25,-23.9,break_even
2020-01-23,5,2020-01-23 15:30:00-05:00,2020-01-23 15:45:00-05:00,SHORT,5,9226.0,9226.5,-23.9,break_even
2020-01-24,1,2020-01-24 09:45:00-05:00,2020-01-24 11:00:00-05:00,SHORT,5,9271.5,9249.75,198.6,max_hold
2020-01-24,2,2020-01-24 11:30:00-05:00,2020-01-24 11:45:00-05:00,LONG,5,9229.25,9228.75,-23.9,break_even
2020-01-24,3,2020-01-24 13:15:00-05:00,2020-01-24 13:30:00-05:00,LONG,5,9174.0,9173.5,-23.9,break_even
2020-01-24,4,2020-01-24 14:45:00-05:00,2020-01-24 15:30:00-05:00,LONG,5,9123.25,9137.75,126.1,stop_loss
2020-01-24,5,2020-01-24 15:45:00-05:00,2020-01-27 09:30:00-05:00,LONG,5,9134.0,9133.5,-23.9,break_even
2020-01-27,1,2020-01-27 10:15:00-05:00,2020-01-27 10:30:00-05:00,LONG,5,8970.25,8969.75,-23.9,break_even
2020-01-27,2,2020-01-27 12:30:00-05:00,2020-01-27 12:45:00-05:00,SHORT,5,8998.0,8998.5,-23.9,break_even
2020-01-27,3,2020-01-27 14:30:00-05:00,2020-01-27 15:45:00-05:00,SHORT,5,9006.75,8961.75,431.1,max_hold
2020-01-27,4,2020-01-27 16:00:00-05:00,2020-01-27 16:30:00-05:00,LONG,5,8961.5,8961.0,-23.9,break_even
2020-01-28,1,2020-01-28 09:45:00-05:00,2020-01-28 10:00:00-05:00,SHORT,5,9013.25,9013.75,-23.9,break_even
2020-01-28,2,2020-01-28 11:15:00-05:00,2020-01-28 11:30:00-05:00,SHORT,5,9070.25,9070.75,-23.9,break_even
2020-01-28,3,2020-01-28 12:45:00-05:00,2020-01-28 13:45:00-05:00,SHORT,5,9096.5,9097.0,-23.9,break_even
2020-01-28,4,2020-01-28 14:15:00-05:00,2020-01-28 14:30:00-05:00,SHORT,5,9111.0,9111.5,-23.9,break_even
2020-01-28,5,2020-01-28 16:00:00-05:00,2020-01-28 16:30:00-05:00,LONG,5,9098.5,9113.0,126.1,stop_loss
2020-01-29,1,2020-01-29 09:45:00-05:00,2020-01-29 11:00:00-05:00,SHORT,5,9138.75,9117.25,196.1,max_hold
2020-01-29,2,2020-01-29 11:15:00-05:00,2020-01-29 11:30:00-05:00,SHORT,5,9116.5,9117.0,-23.9,break_even
2020-01-29,3,2020-01-29 12:45:00-05:00,2020-01-29 13:15:00-05:00,SHORT,5,9134.25,9134.75,-23.9,break_even
2020-01-29,4,2020-01-29 14:15:00-05:00,2020-01-29 14:30:00-05:00,SHORT,5,9145.0,9145.5,-23.9,break_even
2020-01-29,5,2020-01-29 15:45:00-05:00,2020-01-29 16:00:00-05:00,LONG,5,9127.75,9127.25,-23.9,break_even
2020-01-30,1,2020-01-30 10:00:00-05:00,2020-01-30 10:15:00-05:00,LONG,5,9085.5,9085.0,-23.9,break_even
2020-01-30,2,2020-01-30 12:30:00-05:00,2020-01-30 12:45:00-05:00,LONG,5,9056.5,9056.0,-23.9,break_even
2020-01-30,3,2020-01-30 14:15:00-05:00,2020-01-30 14:30:00-05:00,SHORT,5,9078.25,9078.75,-23.9,break_even
2020-01-30,4,2020-01-30 15:45:00-05:00,2020-01-30 16:00:00-05:00,SHORT,5,9130.0,9130.5,-23.9,break_even
2020-01-31,1,2020-01-31 10:15:00-05:00,2020-01-31 10:30:00-05:00,LONG,5,9087.5,9087.0,-23.9,break_even
2020-01-31,2,2020-01-31 11:45:00-05:00,2020-01-31 12:00:00-05:00,LONG,5,9050.25,9049.75,-23.9,break_even
2020-01-31,3,2020-01-31 13:15:00-05:00,2020-01-31 13:30:00-05:00,LONG,5,9024.0,9023.5,-23.9,break_even
2020-01-31,4,2020-01-31 15:15:00-05:00,2020-01-31 15:30:00-05:00,LONG,5,9000.5,9000.0,-23.9,break_even
2020-02-03,1,2020-02-03 09:45:00-05:00,2020-02-03 10:00:00-05:00,SHORT,5,9089.5,9090.0,-23.9,break_even
2020-02-03,2,2020-02-03 11:15:00-05:00,2020-02-03 11:30:00-05:00,SHORT,5,9130.75,9131.25,-23.9,break_even
2020-02-03,3,2020-02-03 12:45:00-05:00,2020-02-03 13:00:00-05:00,SHORT,5,9138.25,9138.75,-23.9,break_even
2020-02-03,4,2020-02-03 14:15:00-05:00,2020-02-03 15:15:00-05:00,LONG,5,9114.0,9128.5,126.1,stop_loss
2020-02-03,5,2020-02-03 15:30:00-05:00,2020-02-04 09:30:00-05:00,SHORT,5,9143.25,9143.75,-23.9,break_even
2020-02-04,1,2020-02-04 10:00:00-05:00,2020-02-04 10:15:00-05:00,SHORT,5,9265.5,9266.0,-23.9,break_even
2020-02-04,2,2020-02-04 11:30:00-05:00,2020-02-04 11:45:00-05:00,SHORT,5,9304.25,9304.75,-23.9,break_even
2020-02-04,3,2020-02-04 13:00:00-05:00,2020-02-04 13:30:00-05:00,SHORT,5,9328.75,9329.25,-23.9,break_even
2020-02-04,4,2020-02-04 14:30:00-05:00,2020-02-04 14:45:00-05:00,SHORT,5,9335.0,9335.5,-23.9,break_even
2020-02-04,5,2020-02-04 16:30:00-05:00,2020-02-05 09:30:00-05:00,SHORT,5,9354.75,9355.25,-23.9,break_even
2020-02-05,1,2020-02-05 10:45:00-05:00,2020-02-05 11:30:00-05:00,LONG,5,9339.75,9339.25,-23.9,break_even
2020-02-05,2,2020-02-05 12:15:00-05:00,2020-02-05 12:30:00-05:00,SHORT,5,9366.5,9367.0,-23.9,break_even
2020-02-05,3,2020-02-05 14:15:00-05:00,2020-02-05 15:30:00-05:00,LONG,5,9346.5,9376.0,276.1,stop_loss
2020-02-05,4,2020-02-05 15:45:00-05:00,2020-02-05 16:00:00-05:00,SHORT,5,9379.25,9379.75,-23.9,break_even
2020-02-06,1,2020-02-06 10:00:00-05:00,2020-02-06 10:15:00-05:00,SHORT,5,9413.5,9414.0,-23.9,break_even
2020-02-06,2,2020-02-06 11:30:00-05:00,2020-02-06 12:00:00-05:00,SHORT,5,9439.25,9439.75,-23.9,break_even
2020-02-06,3,2020-02-06 13:00:00-05:00,2020-02-06 14:15:00-05:00,SHORT,5,9448.75,9441.5,53.6,max_hold
2020-02-06,4,2020-02-06 14:45:00-05:00,2020-02-06 15:00:00-05:00,LONG,5,9436.5,9436.0,-23.9,break_even
2020-02-06,5,2020-02-06 16:30:00-05:00,2020-02-07 10:30:00-05:00,SHORT,5,9453.0,9434.5,166.1,max_hold
2020-02-07,1,2020-02-07 10:45:00-05:00,2020-02-07 11:00:00-05:00,SHORT,5,9433.75,9434.25,-23.9,break_even
2020-02-07,2,2020-02-07 12:15:00-05:00,2020-02-07 12:30:00-05:00,SHORT,5,9454.5,9455.0,-23.9,break_even
2020-02-07,3,2020-02-07 13:45:00-05:00,2020-02-07 14:00:00-05:00,LONG,5,9433.5,9433.0,-23.9,break_even
2020-02-07,4,2020-02-07 15:15:00-05:00,2020-02-07 15:30:00-05:00,LONG,5,9410.75,9410.25,-23.9,break_even
2020-02-10,1,2020-02-10 09:45:00-05:00,2020-02-10 10:00:00-05:00,SHORT,5,9436.0,9436.5,-23.9,break_even
2020-02-10,2,2020-02-10 11:15:00-05:00,2020-02-10 11:30:00-05:00,SHORT,5,9458.0,9458.5,-23.9,break_even
2020-02-10,3,2020-02-10 13:15:00-05:00,2020-02-10 13:30:00-05:00,SHORT,5,9472.0,9472.5,-23.9,break_even
2020-02-10,4,2020-02-10 14:45:00-05:00,2020-02-10 15:00:00-05:00,SHORT,5,9479.75,9480.25,-23.9,break_even
2020-02-10,5,2020-02-10 16:30:00-05:00,2020-02-11 09:30:00-05:00,SHORT,5,9527.5,9528.0,-23.9,break_even
2020-02-11,1,2020-02-11 10:45:00-05:00,2020-02-11 11:00:00-05:00,SHORT,5,9603.75,9604.25,-23.9,break_even
2020-02-11,2,2020-02-11 12:15:00-05:00,2020-02-11 12:30:00-05:00,LONG,5,9564.75,9564.25,-23.9,break_even
2020-02-11,3,2020-02-11 14:00:00-05:00,2020-02-11 14:15:00-05:00,LONG,5,9554.25,9553.75,-23.9,break_even
2020-02-11,4,2020-02-11 15:30:00-05:00,2020-02-11 15:45:00-05:00,LONG,5,9522.75,9522.25,-23.9,break_even
2020-02-12,1,2020-02-12 09:45:00-05:00,2020-02-12 10:00:00-05:00,SHORT,5,9586.0,9586.5,-23.9,break_even
2020-02-12,2,2020-02-12 11:15:00-05:00,2020-02-12 11:30:00-05:00,SHORT,5,9594.0,9594.5,-23.9,break_even
2020-02-12,3,2020-02-12 12:45:00-05:00,2020-02-12 14:00:00-05:00,SHORT,5,9617.25,9602.25,131.1,max_hold
2020-02-12,4,2020-02-12 14:15:00-05:00,2020-02-12 14:30:00-05:00,LONG,5,9602.25,9601.75,-23.9,break_even
2020-02-12,5,2020-02-12 15:45:00-05:00,2020-02-12 16:00:00-05:00,SHORT,5,9614.0,9614.5,-23.9,break_even
2020-02-13,1,2020-02-13 09:45:00-05:00,2020-02-13 10:00:00-05:00,LONG,5,9571.0,9570.5,-23.9,break_even
2020-02-13,2,2020-02-13 11:15:00-05:00,2020-02-13 11:30:00-05:00,SHORT,5,9607.5,9608.0,-23.9,break_even
2020-02-13,3,2020-02-13 13:00:00-05:00,2020-02-13 13:15:00-05:00,LONG,5,9605.25,9604.75,-23.9,break_even
2020-02-13,4,2020-02-13 14:45:00-05:00,2020-02-13 15:00:00-05:00,SHORT,5,9632.0,9632.5,-23.9,break_even
2020-02-14,1,2020-02-14 10:15:00-05:00,2020-02-14 11:30:00-05:00,LONG,5,9600.5,9628.75,263.6,max_hold
2020-02-14,2,2020-02-14 12:15:00-05:00,2020-02-14 12:30:00-05:00,LONG,5,9613.5,9613.0,-23.9,break_even
2020-02-14,3,2020-02-14 14:00:00-05:00,2020-02-14 14:15:00-05:00,LONG,5,9599.75,9599.25,-23.9,break_even
2020-02-14,4,2020-02-14 15:45:00-05:00,2020-02-14 16:00:00-05:00,SHORT,5,9613.75,9614.25,-23.9,break_even
2020-02-17,1,2020-02-17 09:45:00-05:00,2020-02-17 10:00:00-05:00,SHORT,5,9661.75,9662.25,-23.9,break_even
2020-02-17,2,2020-02-17 11:15:00-05:00,2020-02-17 11:30:00-05:00,SHORT,5,9662.75,9663.25,-23.9,break_even
2020-02-17,3,2020-02-17 12:45:00-05:00,2020-02-18 10:30:00-05:00,SHORT,5,9665.75,9612.0,518.6,max_hold
2020-02-18,1,2020-02-18 10:45:00-05:00,2020-02-18 11:00:00-05:00,LONG,5,9612.5,9612.0,-23.9,break_even
2020-02-18,2,2020-02-18 12:45:00-05:00,2020-02-18 13:00:00-05:00,SHORT,5,9608.5,9609.0,-23.9,break_even
2020-02-18,3,2020-02-18 14:30:00-05:00,2020-02-18 14:45:00-05:00,SHORT,5,9638.5,9639.0,-23.9,break_even
2020-02-19,1,2020-02-19 09:45:00-05:00,2020-02-19 10:00:00-05:00,SHORT,5,9701.0,9701.5,-23.9,break_even
2020-02-19,2,2020-02-19 11:15:00-05:00,2020-02-19 11:30:00-05:00,SHORT,5,9730.5,9731.0,-23.9,break_even
2020-02-19,3,2020-02-19 12:45:00-05:00,2020-02-19 13:00:00-05:00,SHORT,5,9736.25,9736.75,-23.9,break_even
2020-02-19,4,2020-02-19 14:15:00-05:00,2020-02-19 14:30:00-05:00,SHORT,5,9739.25,9739.75,-23.9,break_even
2020-02-19,5,2020-02-19 15:45:00-05:00,2020-02-19 16:00:00-05:00,LONG,5,9728.25,9727.75,-23.9,break_even
2020-02-20,1,2020-02-20 09:45:00-05:00,2020-02-20 10:15:00-05:00,LONG,5,9698.25,9697.75,-23.9,break_even
2020-02-20,2,2020-02-20 11:15:00-05:00,2020-02-20 11:30:00-05:00,LONG,5,9662.5,9662.0,-23.9,break_even
2020-02-20,3,2020-02-20 12:45:00-05:00,2020-02-20 13:00:00-05:00,LONG,5,9553.75,9583.25,276.1,stop_loss
2020-02-20,4,2020-02-20 13:15:00-05:00,2020-02-20 14:00:00-05:00,SHORT,5,9609.75,9610.25,-23.9,break_even
2020-02-20,5,2020-02-20 14:45:00-05:00,2020-02-20 15:30:00-05:00,SHORT,5,9628.75,9629.25,-23.9,break_even
2020-02-21,1,2020-02-21 09:45:00-05:00,2020-02-21 10:00:00-05:00,LONG,5,9540.25,9539.75,-23.9,break_even
2020-02-21,2,2020-02-21 12:30:00-05:00,2020-02-21 12:45:00-05:00,LONG,5,9503.75,9503.25,-23.9,break_even
2020-02-21,3,2020-02-21 14:00:00-05:00,2020-02-21 14:15:00-05:00,LONG,5,9433.5,9433.0,-23.9,break_even
2020-02-21,4,2020-02-21 15:30:00-05:00,2020-02-21 15:45:00-05:00,LONG,5,9426.5,9441.0,126.1,stop_loss
2020-02-21,5,2020-02-21 16:00:00-05:00,2020-02-21 16:30:00-05:00,SHORT,5,9451.75,9452.25,-23.9,break_even
2020-02-24,1,2020-02-24 09:45:00-05:00,2020-02-24 10:00:00-05:00,LONG,5,9178.0,9177.5,-23.9,break_even
2020-02-24,2,2020-02-24 11:15:00-05:00,2020-02-24 11:30:00-05:00,LONG,5,9126.75,9126.25,-23.9,break_even
2020-02-24,3,2020-02-24 13:00:00-05:00,2020-02-24 13:15:00-05:00,LONG,5,9087.0,9086.5,-23.9,break_even
2020-02-24,4,2020-02-24 14:30:00-05:00,2020-02-24 14:45:00-05:00,SHORT,5,9121.5,9122.0,-23.9,break_even
2020-02-24,5,2020-02-24 16:00:00-05:00,2020-02-24 16:30:00-05:00,LONG,5,9085.25,9084.75,-23.9,break_even
2020-02-25,1,2020-02-25 10:00:00-05:00,2020-02-25 10:30:00-05:00,SHORT,5,9129.25,9029.75,976.1,take_profit
2020-02-25,2,2020-02-25 10:45:00-05:00,2020-02-25 11:00:00-05:00,LONG,5,9074.75,9074.25,-23.9,break_even
2020-02-25,3,2020-02-25 12:30:00-05:00,2020-02-25 12:45:00-05:00,LONG,5,8998.25,8997.75,-23.9,break_even
2020-02-25,4,2020-02-25 14:00:00-05:00,2020-02-25 14:15:00-05:00,LONG,5,8911.25,8910.75,-23.9,break_even
2020-02-25,5,2020-02-25 15:30:00-05:00,2020-02-25 15:45:00-05:00,LONG,5,8860.25,8859.75,-23.9,break_even
2020-02-26,1,2020-02-26 09:45:00-05:00,2020-02-26 10:15:00-05:00,SHORT,5,8997.0,8997.5,-23.9,break_even
2020-02-26,2,2020-02-26 11:30:00-05:00,2020-02-26 12:00:00-05:00,SHORT,5,9019.0,8919.5,976.1,take_profit
2020-02-26,3,2020-02-26 12:15:00-05:00,2020-02-26 12:30:00-05:00,LONG,5,8899.75,8929.25,276.1,stop_loss
2020-02-26,4,2020-02-26 12:45:00-05:00,2020-02-26 13:00:00-05:00,LONG,5,8921.0,8920.5,-23.9,break_even
2020-02-26,5,2020-02-26 15:00:00-05:00,2020-02-26 15:15:00-05:00,LONG,5,8863.75,8893.25,276.1,stop_loss
2020-02-26,6,2020-02-26 16:30:00-05:00,2020-02-27 09:30:00-05:00,LONG,5,8844.25,8843.75,-23.9,break_even
2020-02-27,1,2020-02-27 10:45:00-05:00,2020-02-27 11:00:00-05:00,LONG,5,8567.25,8666.75,976.1,take_profit
2020-02-27,2,2020-02-27 11:45:00-05:00,2020-02-27 12:00:00-05:00,LONG,5,8635.0,8684.5,476.1,stop_loss
2020-02-27,3,2020-02-27 12:15:00-05:00,2020-02-27 12:30:00-05:00,SHORT,5,8747.25,8747.75,-23.9,break_even
2020-02-27,4,2020-02-27 13:45:00-05:00,2020-02-27 14:00:00-05:00,LONG,5,8634.5,8634.0,-23.9,break_even
2020-02-27,5,2020-02-27 15:15:00-05:00,2020-02-27 15:30:00-05:00,LONG,5,8611.75,8611.25,-23.9,break_even
2020-02-28,1,2020-02-28 09:45:00-05:00,2020-02-28 10:00:00-05:00,LONG,5,8235.25,8234.75,-23.9,break_even
2020-03-02,1,2020-03-02 09:45:00-05:00,2020-03-02 10:00:00-05:00,SHORT,5,8534.5,8535.0,-23.9,break_even
2020-03-02,2,2020-03-02 11:15:00-05:00,2020-03-02 11:30:00-05:00,SHORT,5,8636.25,8636.75,-23.9,break_even
2020-03-02,3,2020-03-02 12:45:00-05:00,2020-03-02 13:00:00-05:00,SHORT,5,8699.0,8699.5,-23.9,break_even
2020-03-02,4,2020-03-02 14:15:00-05:00,2020-03-02 14:30:00-05:00,SHORT,5,8704.25,8604.75,976.1,take_profit
2020-03-02,5,2020-03-02 14:45:00-05:00,2020-03-02 15:00:00-05:00,LONG,5,8595.0,8644.5,476.1,stop_loss
2020-03-02,6,2020-03-02 15:30:00-05:00,2020-03-02 15:45:00-05:00,SHORT,5,8703.5,8704.0,-23.9,break_even
2020-03-03,1,2020-03-03 09:45:00-05:00,2020-03-03 10:00:00-05:00,SHORT,5,8824.25,8824.75,-23.9,break_even
2020-03-03,2,2020-03-03 11:15:00-05:00,2020-03-03 11:30:00-05:00,LONG,5,8792.5,8792.0,-23.9,break_even
2020-03-03,3,2020-03-03 12:45:00-05:00,2020-03-03 13:00:00-05:00,LONG,5,8777.25,8776.75,-23.9,break_even
2020-03-03,4,2020-03-03 14:15:00-05:00,2020-03-03 14:30:00-05:00,LONG,5,8581.25,8595.75,126.1,stop_loss
2020-03-03,5,2020-03-03 14:45:00-05:00,2020-03-03 15:00:00-05:00,LONG,5,8544.0,8643.5,976.1,take_profit
2020-03-03,6,2020-03-03 15:15:00-05:00,2020-03-03 15:30:00-05:00,SHORT,5,8676.5,8677.0,-23.9,break_even
2020-03-04,1,2020-03-04 09:45:00-05:00,2020-03-04 10:00:00-05:00,SHORT,5,8720.5,8721.0,-23.9,break_even
2020-03-04,2,2020-03-04 11:30:00-05:00,2020-03-04 12:15:00-05:00,SHORT,5,8764.25,8764.75,-23.9,break_even
2020-03-04,3,2020-03-04 13:00:00-05:00,2020-03-04 13:15:00-05:00,SHORT,5,8817.0,8817.5,-23.9,break_even
2020-03-04,4,2020-03-04 14:30:00-05:00,2020-03-04 15:15:00-05:00,SHORT,5,8857.25,8857.75,-23.9,break_even
2020-03-04,5,2020-03-04 16:00:00-05:00,2020-03-05 09:30:00-05:00,SHORT,5,8943.25,8843.75,976.1,take_profit
